body,label
busederin.net/deppeinc/dropboxx/dropbox/dropbox/spacebox/,1
reefclub.ru/cag2zv,1
logi.org/logi.crypto/,0
article.wn.com/view/2011/11/22/Reducing_the_pay_gap_in_UK_companies/,0
bitly.com/SZeE9d,1
canucksjerseysstore.com/canucks-jerseys-roberto-luongo-jersey-c-19_20.html,0
carameladafestasinfantis.com.br/eTLf4X6txC/,1
legacy.com/obituaries/nytimes/obituary.aspx?n=edward-c-meyer&pid=140667933,0
isohunt.com/torrents/golden+age+of+grotesque,0
www.anglo.german.clara.net/E-frontpage/e-frontpage.html,0
londonclubsguestlist.com/,0
imdb.com/name/nm0572106/,0
bigidea.ws/.si/,1
miamiherald.com/2011/08/01/2342070/cutler-bay-may-raise-tax-rate.html,0
yellowpages.com/pearl-ms/holiday-inn-trustmark-park-pearl,0
www.eugenhriscu.ro/a.txt/sec.paypal/webscr.php?cmd=_login-run&amp;dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5fa0d010d719f4fea3306fe66af80e05afa0d010d719f4fea3306fe66af80e05a,1
capstickslaws.com/123/,1
tripadvisor.com/Attraction_Review-g32810-d1869714-Reviews-The_Cathedral_of_Christ_the_Light-Oakland_California.html,0
services-runescape-com-sm-forums.totalh.net/m=weblogin.loginform.ws-mod=wwwssl=1reauth=1dest=account_settings.ws.html,1
www.paypal-note.de/login/93938/index.php,1
data.greatbuildings.com/wiki/Lima%2C_Ohio,0
guitarpartsresource.com/,0
searchenginewatch.com/article/2065323/ODP-Testing-Public-Abuse-Report-System,0
art.oregonspinecenter.com/upCopy/index.php,1
en.wikipedia.org/wiki/William_B._Shubb,0
ias-america.org/,0
estatehomesland.com/estatehomesland/media/index.htm,1
youtube.com/watch?v=G44NCvNDLfc,0
ape2zebra.com/toy/10351-baby-vivaldi-baby-einstein.aspx,0
dreamnetwork.mycollabtive.de/css/image/insurance/www.orange.fr/internet/serivce_3d-secure/controle-en-ligne/verifie/information.php,1
espm.co.il/wp-includes/js/plupload/,1
peaumontreal.com/hud/index.php,1
box754.bluehost.com/~mediabou/includes/database/upd/mpp/signin/,1
youtube.com/watch?v=hR-KRWeAU6I,0
